City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,tadine,-21.55,167.8833,27.94,72,68,3.0,NC,1675228325
291,nantucket,41.2835,-70.0995,-0.92,59,100,6.17,US,1675228325
292,nideggen,50.7,6.4833,4.98,83,40,8.75,DE,1675228326
293,mumford,5.2618,-0.759,25.12,87,27,1.99,GH,1675228326
294,priargunsk,50.3691,119.1012,-17.39,79,10,1.78,RU,1675228327
295,sitka,57.0531,-135.33,3.94,87,100,2.57,US,1675228327
296,prescott,34.54,-112.4685,1.21,75,0,3.6,US,1675228327
297,sarakhs,36.5449,61.1577,15.41,36,100,8.74,IR,1675228328
298,fortuna,40.5982,-124.1573,4.51,93,0,3.6,US,1675228329
299,koungou,-12.7336,45.2042,25.84,89,75,4.12,YT,1675228329
300,deer lake,49.1667,-57.4316,-20.43,100,48,1.5,CA,1675228330
301,vostok,46.4856,135.8833,-12.79,85,100,2.49,RU,1675228331
302,saint-augustin,51.226,-58.6502,-24.1,88,1,2.72,CA,1675228331
303,waverly,42.7392,-84.6208,-12.04,80,75,4.12,US,1675228331
304,coihaique,-45.5752,-72.0662,12.34,76,0,1.54,CL,1675228332
305,verkhnyaya inta,65.9811,60.3094,-4.88,79,65,8.17,RU,1675228332
306,trinidad,-14.8333,-64.9,22.48,98,100,1.67,BO,1675228333
307,kunming,25.0389,102.7183,21.84,24,1,4.98,CN,1675228117
308,seredka,58.1584,28.1858,-0.14,97,89,3.82,RU,1675228334
309,san policarpo,12.1791,125.5072,27.1,83,16,5.7,PH,1675228334
310,terre-de-bas,15.8501,-61.6442,19.73,76,0,4.37,GP,1675228335
311,bosaso,11.2842,49.1816,23.85,63,19,2.26,SO,1675228335
312,lago da pedra,-4.3333,-45.1667,21.95,99,97,1.52,BR,1675228336
313,kindu,-2.95,25.95,18.56,98,100,1.36,CD,1675228336
314,tamandare,-8.7597,-35.1047,24.89,83,74,2.04,BR,1675228337
315,itacoatiara,-3.1431,-58.4442,22.68,97,100,0.93,BR,1675228337
316,hambantota,6.1241,81.1185,28.19,89,20,1.03,LK,1675228338
317,lazurne,46.084,32.5295,0.28,90,84,4.55,UA,1675228338
318,lagoa,39.05,-27.9833,13.83,68,98,5.09,PT,1675228339
319,siguiri,11.6667,-9.5,21.42,20,50,1.35,GN,1675228339
320,tonantins,-2.8731,-67.8022,21.89,99,75,0.53,BR,1675228243
321,mecca,21.4267,39.8261,21.13,65,26,3.0,SA,1675228316
322,porto walter,-8.2686,-72.7439,22.15,99,99,1.12,BR,1675228282
323,zarubino,42.63,131.0922,-2.9,48,97,5.63,RU,1675228341
324,gourcy,13.2167,-2.35,19.86,7,100,4.21,BF,1675228341
325,vestmannaeyjar,63.4427,-20.2734,0.04,69,68,2.15,IS,1675228342
326,seydi,39.4816,62.9137,9.13,60,100,8.12,TM,1675228155
327,mettur,11.8,77.8,27.59,34,99,3.77,IN,1675228343
328,olga,43.7444,135.2892,-3.63,43,100,5.93,RU,1675228343
329,darhan,49.4867,105.9228,-15.22,81,100,2.42,MN,1675228344
330,damaturu,11.747,11.9608,19.93,23,93,3.97,NG,1675228344
331,portland,45.5234,-122.6762,2.96,72,75,2.57,US,1675227547
332,luderitz,-26.6481,15.1594,15.74,89,6,4.76,NA,1675228345
333,taltal,-25.4,-70.4833,19.87,85,67,0.53,CL,1675228345
334,mehamn,71.0357,27.8492,0.95,86,75,8.75,NO,1675228346
335,kasongo-lunda,-6.4667,16.8167,19.47,98,94,0.19,CD,1675228346
336,north bend,43.4065,-124.2243,3.81,87,0,3.6,US,1675228137
337,saint anthony,45.0205,-93.218,-12.04,61,100,3.6,US,1675228347
338,wake forest,35.9799,-78.5097,13.98,94,100,2.57,US,1675228143
339,meulaboh,4.1363,96.1285,28.9,61,91,1.59,ID,1675228348
340,teguldet,57.3064,88.1667,-16.52,98,100,1.31,RU,1675228348
341,volchikha,52.0333,80.3833,-8.46,88,82,2.18,RU,1675228349
342,kamina,-8.7386,24.9906,17.62,95,95,1.02,CD,1675228350
343,itarema,-2.9248,-39.9167,24.93,90,48,4.87,BR,1675228350
344,edd,13.9297,41.6925,25.21,58,16,7.84,ER,1675228351
345,hirara,24.8,125.2833,20.34,72,100,4.38,JP,1675228105
346,carlsbad,33.1581,-117.3506,13.55,60,0,0.89,US,1675228187
347,la palma,33.8464,-118.0467,15.01,35,0,2.57,US,1675228352
348,barentu,15.1139,37.5928,21.18,46,29,1.4,ER,1675228352
349,broken hill,-31.95,141.4333,26.95,28,0,4.44,AU,1675228353
350,paignton,50.4357,-3.5679,7.58,88,9,1.79,GB,1675228353
351,roma,43.2128,-75.4557,-8.36,78,75,0.0,US,1675228354
352,pochutla,15.7432,-96.4661,22.68,75,1,1.71,MX,1675228354
